source_frame,clip_frame,clip_time_s,player_pose_accepted,rig_available,rig_interpolated,left_knee_2d_deg,left_knee_rig3d_deg,ankle_direction_elevation_model_deg,delta_t_replay_s,ankle_delta_x_model_m,ankle_delta_y_model_m,ankle_delta_z_model_m,ball_sam_centroid_x_px,ball_sam_centroid_y_px
2569,147,4.9049,1,1,0,156.930038,128.861878,13.420004,0.1001,-0.013706,0.040245,-0.168112,,
2570,148,4.938267,1,1,0,159.302971,125.931869,10.084203,0.1001,-0.028087,0.047529,-0.265773,,
2571,149,4.971633,1,1,0,161.36207,135.495681,12.646,0.1001,-0.057881,0.045633,-0.194975,,
2572,150,5.005,1,1,0,169.789757,145.518525,16.521127,0.1001,-0.078303,0.05408,-0.164652,,
2573,151,5.038367,1,1,0,169.080788,150.959766,13.490516,0.1001,-0.086062,0.033193,-0.108338,,
2574,152,5.071733,1,1,0,166.580608,147.252755,5.987573,0.1001,-0.086915,0.01614,-0.126989,,
2575,153,5.1051,1,1,0,156.777222,136.494276,36.805134,0.1001,-0.078073,0.07256,-0.057522,,
2576,154,5.138467,1,1,0,142.555762,129.326185,70.832167,0.1001,-0.045715,0.132055,0.004156,,
2577,155,5.171833,1,1,0,116.357083,118.431428,62.864259,0.1001,0.089146,0.229939,0.077078,,
2578,156,5.2052,1,1,0,88.166459,101.565709,46.677642,0.1001,0.050413,0.14207,0.124139,,
2579,157,5.238567,1,1,0,70.508723,92.741369,13.705947,0.1001,0.022136,0.054703,0.223205,,
2580,158,5.271933,1,1,0,25.774379,82.970705,-10.383664,0.1001,-0.059397,-0.046636,0.24748,,
2581,159,5.3053,1,1,0,44.328154,74.110432,-11.023751,0.1001,0.01285,-0.049309,0.252786,,
2582,160,5.338667,1,1,0,67.095613,66.99356,-5.436517,0.1001,0.050555,-0.025007,0.257846,,
2583,161,5.372033,1,1,0,105.013235,68.540118,-9.357849,0.1001,0.008574,-0.048555,0.294517,,
2584,162,5.4054,1,1,0,157.257147,74.093871,-17.627086,0.1001,0.043457,-0.073284,0.226512,,
